member_id,member_name,state,party,chamber,district,vote_id,vote_name,congress,vote_position,is_pro_labor,is_not_voting
S348,Rand Paul,KY,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S380,Gary Peters,MI,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S349,Rob Portman,OH,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S259,John Reed,RI,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S323,James Risch,ID,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S401,Mitt Romney,UT,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S402,Jacklyn Rosen,NV,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S381,Mike Rounds,SD,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S350,Marco Rubio,FL,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S313,Bernard Sanders,VT,I,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S382,Ben Sasse,NE,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S353,Brian Schatz,HI,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S270,Charles Schumer,NY,D,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,yes,True,False
S404,Rick Scott,FL,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
S365,Tim Scott,SC,R,senate,,abruzzo_nlrb_117,Abruzzo NLRB General Counsel Confirmation,117,no,False,False
